passer_player_id,passer_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,qbTier,tier,teamQBTier,ctotalEPA,ctotalEP,cCPOE,cactualization,cYPG,cTDperGame,intPerGame,cthirdConvert,EPA_rank,EP_rank,CPOE_rank,YPG_rank,TD_rank,actualization_rank,int_rank,third_rank,EPA_rank_num,EP_rank_num,CPOE_rank_num,YPG_rank_num,TD_rank_num,actualization_rank_num,int_rank_num,third_rank_num
00-0033077,D.Prescott,DAL,DAL,2023,QB,17,2,0.8833,1,1,1,124.1,1659.49,3.935,0.871,266,2.3,0.53,0.536,0.963,1,0.8519,0.8519,0.9259,0.8148,0.2222,0.8519,3,1,9,9,5,11,13,9
00-0019596,T.Brady,NE,NE,2017,QB,16,2,0.8678,1,1,1,128.41,1299.96,3.736,0.776,276.1,2.21,0.5,0.433,1,0.9778,0.8667,0.9556,0.9111,0.6889,0.1333,0.5,1,2,7,3,5,15,8,23
00-0026143,M.Ryan,ATL,ATL,2018,QB,16,3,0.8858,1,1,1,107.44,1431.59,4.35,0.825,297.8,2.58,0.44,0.586,0.9149,0.8936,0.8511,0.9362,0.9362,0.6383,0.1064,0.9111,5,6,8,4,4,18,6,5
00-0033106,J.Goff,DET,DET,2024,QB,17,3,0.8709,1,1,1,153.33,1460.76,5.706,1.219,262.1,2.18,0.71,0.533,0.9574,0.9149,0.9362,0.8936,0.8936,1,0.5532,0.8043,3,5,4,6,6,1,27,10
00-0034857,J.Allen,BUF,BUF,2020,QB,16,3,0.8706,1,1,1,159.42,1692.64,6.593,0.862,300.4,2.81,0.62,0.501,0.9574,1,0.9149,0.9362,0.9574,0.617,0.383,0.8444,3,1,5,4,3,19,19,8
00-0019596,T.Brady,TB,TB,2021,QB,17,3,0.8604,1,1,1,140.45,1687.31,1.691,0.863,310.5,2.8,0.71,0.529,0.98,0.94,0.66,1,1,0.72,0.44,0.7143,2,4,18,1,1,15,23,15
00-0036442,J.Burrow,CIN,CIN,2022,QB,16,3,0.8589,1,1,1,85.07,1608.67,2.73,0.947,279.9,2.62,0.75,0.485,0.9483,0.9483,0.8793,0.931,0.9655,0.8966,0.5517,0.6667,4,4,8,5,3,7,34,20
00-0029604,K.Cousins,WAS,WAS,2016,QB,16,3,0.849,1,1,1,101.34,1432.73,4.975,0.862,302.3,2.04,0.75,0.574,0.9091,0.9318,0.9556,0.9545,0.8182,0.7556,0.4889,0.9268,5,4,3,3,9,12,24,4
00-0034857,J.Allen,BUF,BUF,2023,QB,17,3,0.8398,1,1,1,128.92,1523.7,5.024,0.79,275.5,2.59,1.06,0.566,0.9815,0.9815,0.9444,0.9259,0.9815,0.6481,0.8704,0.8704,2,2,4,5,2,20,48,8
00-0020531,D.Brees,NO,NO,2019,QB,11,3,0.8336,1,1,3,95.08,910.14,6.058,1.152,261.9,2.65,0.36,0.214,0.9388,0.4694,0.94,0.7755,0.9796,1,0.14,0.0667,4,27,4,12,2,1,8,43
00-0032950,C.Wentz,PHI,PHI,2017,QB,13,3,0.8254,1,1,3,107.91,1012.99,0.415,0.671,264.7,2.62,0.54,0.558,0.9778,0.6,0.5778,0.8222,0.9778,0.3333,0.2,0.9091,2,19,20,9,2,31,10,5
00-0034857,J.Allen,BUF,BUF,2024,QB,16,4,0.8699,1,1,1,187.11,1342.73,0.844,0.885,262.6,2.5,0.38,0.543,1,0.8298,0.5319,0.9149,0.9362,0.7234,0.1489,0.8478,1,9,23,5,4,14,8,8
00-0023459,A.Rodgers,GB,GB,2016,QB,16,4,0.8482,1,1,1,141.02,1580.03,3.506,0.746,284.7,2.81,0.44,0.495,0.9773,1,0.8,0.8864,1,0.4444,0.2667,0.7317,2,1,10,6,1,26,14,12
00-0022924,B.Roethlisberger,PIT,PIT,2018,QB,16,4,0.8389,1,1,1,133.52,1495.27,1.682,0.907,317.7,2.4,1,0.582,0.9574,0.9787,0.617,0.9787,0.8936,0.8936,0.6596,0.8889,3,2,19,2,6,6,32,6
00-0029604,K.Cousins,MIN,MIN,2023,QB,8,4,0.837,1,1,4,20.74,757.63,4.288,0.935,281.2,2.38,0.62,0.5,0.7407,0.5556,0.8704,0.963,0.963,0.8704,0.3704,0.7778,15,25,8,3,3,8,21,13
00-0034857,J.Allen,BUF,BUF,2022,QB,16,4,0.8292,1,1,1,129.61,1620.93,1.003,0.744,305.4,2.69,0.88,0.568,0.9828,0.9655,0.6897,0.9828,1,0.5,0.7414,0.9123,2,3,19,2,1,30,44,6
00-0029701,R.Tannehill,TEN,TEN,2020,QB,16,4,0.8179,1,1,1,147.26,1196.16,2.656,0.86,247.3,2.62,0.44,0.585,0.9362,0.6809,0.7234,0.617,0.8936,0.5957,0.1489,0.9556,4,16,14,19,6,20,8,3
00-0036442,J.Burrow,CIN,CIN,2021,QB,16,4,0.8106,1,1,1,91.97,1195.4,6.64,0.911,273.1,2.38,0.88,0.551,0.88,0.66,1,0.82,0.88,0.88,0.74,0.7755,7,18,1,10,7,7,38,12
00-0033077,D.Prescott,DAL,DAL,2019,QB,16,4,0.7944,1,1,1,131.7,1356.97,0.966,0.813,315.5,2.08,0.69,0.474,0.9592,0.8776,0.66,0.9796,0.8163,0.7,0.56,0.6444,3,7,18,2,10,16,29,17
00-0022942,P.Rivers,LAC,LAC,2017,QB,16,4,0.7738,1,1,1,99.4,1104.83,1.018,0.897,274.4,1.75,0.62,0.356,0.9333,0.7111,0.7111,0.9333,0.7111,0.9111,0.2444,0.2045,4,14,14,4,14,5,12,36
00-0034855,B.Mayfield,TB,TB,2024,QB,17,5,0.8313,2,2,2,113.76,1445.09,3.604,0.996,273.9,2.6,0.94,0.515,0.9149,0.8936,0.8085,0.9574,0.9574,0.9362,0.7872,0.7174,5,6,10,3,3,4,38,14
00-0036971,T.Lawrence,JAX,JAX,2022,QB,17,5,0.8204,2,2,2,78.33,1358.5,1.427,0.866,248.6,1.76,0.47,0.518,0.8966,0.8621,0.7414,0.7931,0.7759,0.8103,0.1379,0.807,7,9,16,13,14,12,9,12
00-0020531,D.Brees,NO,NO,2016,QB,16,5,0.8157,2,2,2,94.31,1528.99,4.196,1.001,315.8,2.68,0.94,0.395,0.8636,0.9773,0.8444,1,0.9773,1,0.6667,0.3659,7,2,8,1,2,1,31,27
00-0033537,D.Watson,HOU,HOU,2020,QB,16,5,0.8061,2,2,2,129.8,1495.05,6.523,0.853,311,2.31,0.44,0.432,0.9149,0.9787,0.8936,0.9574,0.7872,0.5745,0.1489,0.4444,5,2,6,3,11,21,9,26
00-0033106,J.Goff,LA,LA,2018,QB,16,5,0.7993,2,2,2,104.59,1465.66,1.523,0.864,286.2,2.19,0.75,0.564,0.8936,0.9574,0.5957,0.8936,0.8298,0.766,0.4468,0.8444,6,3,20,6,9,12,24,8
00-0036355,J.Herbert,LAC,LAC,2021,QB,17,5,0.7975,2,2,2,117.56,1739.74,-0.615,0.899,300.7,2.59,0.88,0.53,0.92,0.98,0.5,0.96,0.96,0.84,0.76,0.7347,5,2,26,3,3,9,39,14
00-0029701,R.Tannehill,TEN,TEN,2019,QB,11,5,0.7882,2,2,4,72.69,665.54,7.74,0.831,245.6,2.33,0.55,0.448,0.898,0.449,1,0.6327,0.8776,0.76,0.36,0.5333,6,28,1,19,7,13,19,22
