receiver_player_id,receiver_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,wrTier,tier,totalEPA,totalTD,tgt_share,numYards,numRec,conversion,explosive_rate,avg_separation,avg_intended_air_yards,catch_percentage,yac_above_expected,third_down_rate,EPA_rank,td_rank,tgt_rank,YPG_rank,conversion_rank,explosive_rank,sep_rank,intended_air_rank,catch_rank,third_down_rank,yacOE_rank,EPA_rank_num,td_rank_num,tgt_rank_num,YPG_rank_num,conversion_rank_num,explosive_rank_num,sep_rank_num,intended_air_rank_num,catch_rank_num,third_down_rank_num,yacOE_rank_num
00-0033572,J.Agnew,JAX,JAX,2023,WR,11,127,0.2068,8,8,2.58,1,0.05,225,14,0,0.095,2.3,11.42,55.556,-1.35,0.25,0.3561643835616438,0.29285714285714287,0.1,0.30714285714285716,0,0.09285714285714286,0.13013698630136986,0.6027397260273972,0.2808219178082192,0.15172413793103448,0.034482758620689655,95,98,127,98,109,127,128,59,106,122,141
00-0029572,J.Wright,CAR,CAR,2019,WR,16,127,0.1669,8,8,-19.73,0,0.0839,296,28,0,0.121,2.96,11.89,52.135,-0.94,0.227,0,0,0.24812030075187969,0.19548872180451127,0,0.18238993710691823,0.650887573964497,0.5739644970414202,0.20118343195266272,0.13095238095238096,0.059880239520958084,170,123,101,108,132,131,60,73,136,147,158
00-0032626,G.Allison,GB,GB,2018,WR,NA,127,NA,8,8,17.38,2,NA,NA,NA,0,0.2,3.3,11.86,72.348,0.89,0.6,0.675,NA,NA,NA,0,0.6217948717948718,0.8125,0.63125,0.81875,0.925,0.7295597484276729,53,129,129,129,146,58,31,60,30,10,44
00-0033943,J.Reynolds,DEN,DEN,2024,WR,NA,127,NA,8,8,11.73,1,NA,NA,NA,0.333,0.208,2.81,11.9,71.25,1.11,0.25,0.4868421052631579,NA,NA,NA,0.6620689655172414,0.6153846153846154,0.4473684210526316,0.6513157894736842,0.7960526315789473,0.11842105263157894,0.7302631578947368,79,133,133,133,50,56,84,53,31,131,41
00-0030047,M.Wilson,CHI,CHI,2016,WR,NA,127,NA,8,8,7.32,1,NA,NA,NA,0.5,0.375,3.51,15.33,72.727,0.39,0.5,0.4645161290322581,NA,NA,NA,0.9183673469387755,0.9864864864864865,0.9161290322580645,0.8774193548387097,0.8903225806451613,0.7207792207792207,0.7612903225806451,84,131,131,131,12,2,14,20,17,30,38
00-0037291,J.Nailor,MIN,MIN,2022,WR,NA,127,NA,8,8,7.7,1,NA,NA,NA,0,0.308,3.43,9.17,80,0.58,0.5,0.436241610738255,NA,NA,NA,0,0.9444444444444444,0.8187919463087249,0.33557046979865773,0.9395973154362416,0.6778523489932886,0.5838926174496645,85,127,127,127,129,9,28,100,9,38,63
00-0031228,T.Gabriel,ATL,ATL,2017,WR,NA,127,NA,8,8,1.36,1,NA,NA,NA,0,0.157,2.47,13,49.51,2.59,0.294,0.3443708609271523,NA,NA,NA,0,0.44366197183098594,0.4304635761589404,0.6754966887417219,0.2052980132450331,0.26490066225165565,0.9801324503311258,100,130,130,130,136,80,87,50,121,112,4
00-0035527,A.Isabella,ARI,ARI,2020,WR,13,128,0.2716,8,8,-13.55,3,0.0743,224,21,0.667,0.114,3.15,3.83,53.333,0.62,0.1,0.006060606060606061,0.5100671140939598,0.19463087248322147,0.1610738255033557,0.9675324675324676,0.11392405063291139,0.6484848484848484,0.024242424242424242,0.15757575757575756,0.048484848484848485,0.6666666666666666,165,74,121,126,5,140,59,162,140,157,56
00-0032355,C.Rogers,TEN,TEN,2021,WR,16,128,0.2673,8,8,2.82,1,0.0776,301,30,0.25,0.07,2.61,10.88,64.167,0.09,0.333,0.32142857142857145,0.18791946308724833,0.28859060402684567,0.2214765100671141,0.5652173913043478,0.025477707006369428,0.2916666666666667,0.5238095238095238,0.5773809523809523,0.30357142857142855,0.4226190476190476,115,121,107,117,70,154,120,81,72,111,98
00-0036364,L.Bowden,NO,NO,2023,WR,15,128,0.1947,8,8,-2.25,0,0.0283,83,11,NA,0.125,7.08,6.73,60,0.89,0,0.21232876712328766,0,0.04285714285714286,0.03571428571428571,NA,0.2,1,0.10273972602739725,0.4041095890410959,0,0.6758620689655173,116,138,135,136,143,113,1,132,87,137,48
00-0034426,J.Wims,CHI,CHI,2019,WR,16,128,0.1584,8,8,-12.69,1,0.0626,186,18,0.167,0.077,2.78,10.66,59.881,-0.2,0.222,0.023668639053254437,0.15037593984962405,0.14285714285714285,0.06015037593984962,0.38562091503267976,0.06289308176100629,0.5562130177514792,0.4437869822485207,0.4260355029585799,0.125,0.2634730538922156,166,113,115,126,95,150,76,95,98,148,124
00-0027874,De.Thomas,DEN,DEN,2018,WR,NA,128,NA,8,8,15.6,3,NA,NA,NA,0.308,0.178,3.06,10.6,67.698,0.36,0.471,0.65,NA,NA,NA,0.6688741721854304,0.5064102564102564,0.6875,0.46875,0.6625,0.64375,0.49056603773584906,57,130,130,130,51,78,51,86,55,57,82
00-0028050,G.Salas,BUF,BUF,2016,WR,NA,128,NA,8,8,6.68,1,NA,NA,NA,0,0.167,3.86,15.22,80,1.47,1,0.45806451612903226,NA,NA,NA,0,0.46621621621621623,0.9612903225806452,0.864516129032258,0.9612903225806452,0.987012987012987,0.9161290322580645,85,132,132,132,139,79,7,22,4,2,14
00-0037801,K.Turpin,DAL,DAL,2024,WR,NA,128,NA,8,8,9.2,2,NA,NA,NA,0.143,0.231,4.04,7.27,67.352,1.73,0.588,0.45394736842105265,NA,NA,NA,0.2827586206896552,0.7622377622377622,0.9342105263157895,0.14473684210526316,0.6578947368421053,0.9144736842105263,0.868421052631579,84,134,134,134,105,35,11,131,53,14,21
