receiver_player_id,receiver_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,qbTier,tier,TE_tier,totalEPA,totalTD,tgt_share,numYards,numRec,conversion,explosive_rate,avg_separation,avg_intended_air_yards,catch_percentage,yac_above_expected,third_down_rate,EPA_rank,td_rank,tgt_rank,YPG_rank,conversion_rank,explosive_rank,sep_rank,intended_air_rank,catch_rank,third_down_rank,yacOE_rank,EPA_rank_num,td_rank_num,tgt_rank_num,YPG_rank_num,conversion_rank_num,explosive_rank_num,sep_rank_num,intended_air_rank_num,catch_rank_num,third_down_rank_num,yacOE_rank_num
00-0033288,G.Kittle,SF,SF,2017,TE,15,14,0.6535,4,4,4,14.02,2,0.1011,515,43,0.125,0.206,2.95,7.08,69.433,1.64,0.316,0.7704918032786885,0.3584905660377358,0.5471698113207547,0.7547169811320755,0.23728813559322035,0.7833333333333333,0.6065573770491803,0.39344262295081966,0.7213114754098361,0.35,0.9344262295081968,15,35,25,14,45,14,25,38,18,39,5
00-0033090,H.Henry,NE,NE,2021,TE,17,14,0.6518,4,4,4,34.44,9,0.133,603,50,0.5,0.173,2.49,9.78,64.444,-0.15,0.5,0.9375,0.9298245614035088,0.7192982456140351,0.6842105263157895,0.8709677419354839,0.6666666666666666,0.046875,0.875,0.515625,0.6557377049180327,0.28125,5,5,17,19,6,21,62,9,32,20,47
00-0037838,I.Likely,BAL,BAL,2024,TE,16,14,0.6456,4,4,4,27.71,6,0.1247,477,42,0.385,0.172,4.36,10.14,71.652,1.43,0.3,0.8392857142857143,0.8461538461538461,0.5961538461538461,0.5384615384615384,0.7636363636363637,0.7037037037037037,0.7857142857142857,0.9642857142857143,0.35714285714285715,0.2037037037037037,0.8928571428571429,10,9,22,25,14,17,13,3,37,44,7
00-0031610,D.Waller,LV,LV,2022,TE,9,14,0.6365,4,4,4,4.9,3,0.1261,388,28,0.083,0.273,2.14,14.1,62.143,0.45,0.273,0.5538461538461539,0.7872340425531915,0.6808510638297872,0.8297872340425532,0.1774193548387097,0.9508196721311475,0.03076923076923077,0.9846153846153847,0.35384615384615387,0.328125,0.6,30,11,16,9,52,4,64,2,43,44,27
00-0034159,W.Dissly,SEA,SEA,2018,TE,4,14,0.633,4,4,4,8.2,2,0.1053,156,8,1,0.286,2.55,13.25,60,9.81,0.5,0.47368421052631576,0.8775510204081632,0.5714285714285714,0.6938775510204082,1,0.8947368421052632,0.14035087719298245,0.9824561403508771,0.14035087719298245,0.6785714285714286,1,31,5,22,16,1,5,50,2,48,18,1
00-0025418,G.Olsen,CAR,CAR,2019,TE,14,14,0.6206,4,4,4,9.27,3,0.1376,597,52,0.133,0.217,2.67,9.4,62.922,-0.37,0.421,0.5806451612903226,0.5185185185185185,0.7962962962962963,0.8148148148148148,0.1896551724137931,0.7377049180327869,0.1935483870967742,0.7580645161290323,0.4032258064516129,0.46774193548387094,0.16129032258064516,27,26,12,11,48,17,51,16,38,33,53
00-0022127,J.Witten,DAL,DAL,2016,TE,16,15,0.666,4,4,4,22.52,3,0.1859,673,69,0.111,0.105,2.67,7.55,70.448,-0.35,0.333,0.75,0.5,0.9166666666666666,0.6875,0.13793103448275862,0.23214285714285715,0.4166666666666667,0.36666666666666664,0.6666666666666666,0.18333333333333332,0.6166666666666667,16,22,5,16,51,44,36,39,21,48,24
00-0033858,J.Smith,TEN,TEN,2020,TE,15,15,0.6612,4,4,4,15.74,8,0.1419,448,41,0.421,0.121,3.5,5.5,64.112,1.02,0.364,0.6896551724137931,0.9464285714285714,0.7678571428571429,0.5892857142857143,0.7719298245614035,0.3684210526315789,0.6724137931034483,0.13793103448275862,0.3620689655172414,0.3157894736842105,0.8275862068965517,19,4,14,24,14,37,20,51,38,40,11
00-0036970,K.Pitts,ATL,ATL,2023,TE,17,15,0.6512,4,4,4,17.38,3,0.1582,667,53,0.2,0.178,2.38,11.15,55.396,0.05,0.467,0.7288135593220338,0.5892857142857143,0.7857142857142857,0.75,0.3157894736842105,0.7543859649122807,0.03389830508474576,1,0.0847457627118644,0.543859649122807,0.423728813559322,17,22,13,15,38,15,58,1,55,27,35
00-0038933,D.Kincaid,BUF,BUF,2024,TE,13,15,0.6352,4,4,4,14.81,2,0.1843,448,44,0.2,0.12,3.45,9.08,55.506,0.79,0.381,0.6071428571428571,0.5192307692307693,0.8846153846153846,0.6153846153846154,0.41818181818181815,0.35185185185185186,0.35714285714285715,0.8928571428571429,0.017857142857142856,0.37037037037037035,0.6964285714285714,23,26,7,21,30,36,37,7,56,35,18
