posteam,team,season,myRankNum,myRank,runOffenseTier,tier,totalEP,totalYds,totalTD,successRate,EP_rank,yds_rank,TD_rank,success_rank
PIT,PIT,2018,17,1.2581,5,5,747.55,1462,16,0.438,0.0968,0.0323,0.7097,0.5161
TB,TB,2021,18,1.5484,5,5,957.27,1690,18,0.473,0.1613,0.1935,0.6129,0.7419
NE,NE,2019,18,1.4839,5,5,1075.1,1719,17,0.41,0.7742,0.4516,0.6129,0.4194
GB,GB,2016,18,1.4516,5,5,849.66,1722,11,0.427,0.2258,0.4194,0.3226,0.7097
CHI,CHI,2017,18,1.3226,5,5,868.17,1797,14,0.366,0.3226,0.5161,0.6452,0.1613
TEN,TEN,2022,18,1.3226,5,5,969.11,2144,16,0.411,0.2258,0.6129,0.5484,0.1613
MIA,MIA,2020,18,1.2581,5,5,1122.49,1706,15,0.453,0.6129,0.3226,0.3871,0.5484
TEN,TEN,2023,18,1.2581,5,5,948.56,1861,16,0.403,0.1935,0.4839,0.6129,0.1613
CIN,CIN,2018,18,1.2258,5,5,854,1688,13,0.428,0.2903,0.3548,0.4194,0.4516
NYG,NYG,2024,18,1.1613,5,5,941.63,1799,14,0.433,0.129,0.2903,0.3871,0.4839
NO,NO,2019,19,1.4516,5,5,1053.57,1758,12,0.424,0.7419,0.5161,0.3548,0.5806
NYJ,NYJ,2016,19,1.4516,5,5,907.83,1808,11,0.412,0.3548,0.6452,0.3226,0.4839
CHI,CHI,2021,19,1.3548,5,5,1131.57,2031,14,0.44,0.5806,0.5806,0.3548,0.4194
DEN,DEN,2017,19,1.2903,5,5,947.76,1864,9,0.395,0.4839,0.6452,0.2258,0.4194
MIN,MIN,2022,19,1.2581,5,5,1003.22,1674,18,0.434,0.2581,0.129,0.7419,0.3871
DAL,DAL,2020,19,1.2258,5,5,1072.69,1799,14,0.443,0.5484,0.4839,0.3226,0.4194
HOU,HOU,2018,19,1.1935,5,5,1155.3,2031,12,0.396,0.9032,0.7742,0.2581,0.1613
LAC,LAC,2024,19,1.1613,5,5,1162.46,1917,17,0.401,0.5484,0.4839,0.6129,0.0645
JAX,JAX,2023,19,1.129,5,5,1110.72,1669,17,0.387,0.5484,0.3226,0.7097,0.0968
LV,LV,2017,20,1.2903,5,5,744.8,1564,13,0.411,0.0323,0.2258,0.5161,0.5484
NO,NO,2022,20,1.2581,5,5,1068.33,1995,13,0.453,0.4516,0.4194,0.2258,0.6129
NYG,NYG,2019,20,1.2581,5,5,828.55,1690,11,0.423,0.0968,0.4194,0.2903,0.5484
HOU,HOU,2016,20,1.2258,5,5,953.3,1874,8,0.409,0.5806,0.7742,0.0323,0.4194
JAX,JAX,2021,20,1.1613,5,5,850.2,1764,14,0.446,0,0.3226,0.3548,0.4839
KC,KC,2023,20,1.129,5,5,964.2,1811,10,0.429,0.2258,0.4194,0.1935,0.5161
KC,KC,2020,20,1.0968,5,5,971.61,1819,13,0.44,0.3226,0.5161,0.1935,0.3871
LV,LV,2018,20,1.0968,5,5,899.69,1640,9,0.449,0.4194,0.2258,0.0968,0.7742
SEA,SEA,2024,20,1,5,5,889.35,1641,17,0.416,0.0645,0.129,0.6129,0.2581
CIN,CIN,2022,21,1.2258,6,6,1008.38,1552,14,0.457,0.2903,0.0968,0.3871,0.7419
DEN,DEN,2019,21,1.1935,6,6,953.62,1674,11,0.419,0.5161,0.3871,0.2903,0.5161
LV,LV,2021,21,1.1613,6,6,1110.88,1627,15,0.46,0.4839,0.129,0.4516,0.5806
IND,IND,2017,21,1.129,6,6,977.34,1672,11,0.399,0.5806,0.3226,0.3548,0.4516
DEN,DEN,2023,21,1.0968,6,6,1041.38,1835,8,0.441,0.3871,0.4516,0.0645,0.5806
ATL,ATL,2018,21,1.0645,6,6,821.63,1580,11,0.448,0.1935,0.129,0.1935,0.7419
CHI,CHI,2016,21,1.0645,6,6,789.46,1742,10,0.402,0.0968,0.4839,0.2258,0.3548
CIN,CIN,2020,21,1.0323,6,6,966.95,1676,14,0.446,0.2903,0.2581,0.3226,0.4516
HOU,HOU,2024,21,0.9677,6,6,1085.25,1920,15,0.392,0.4194,0.5161,0.4516,0
CIN,CIN,2021,22,1.129,6,6,980.36,1753,17,0.429,0.2581,0.2903,0.5484,0.2903
HOU,HOU,2017,22,1.129,6,6,867.29,1847,8,0.39,0.2903,0.5806,0.1613,0.3871
MIA,MIA,2022,22,1.0645,6,6,908.74,1693,13,0.453,0.129,0.1935,0.2258,0.6452
NYG,NYG,2023,22,1.0645,6,6,974.87,1883,10,0.414,0.3226,0.5161,0.1935,0.3548
SEA,SEA,2016,22,1.0323,6,6,871.24,1611,13,0.403,0.3226,0.2258,0.4194,0.3871
JAX,JAX,2018,22,0.9677,6,6,868.16,1729,7,0.441,0.3548,0.3871,0,0.5806
DEN,DEN,2020,22,0.9032,6,6,894.25,1935,13,0.409,0.1935,0.6129,0.1935,0.0968
NE,NE,2024,22,0.9032,6,6,1044.57,1976,12,0.402,0.3548,0.6129,0.1935,0.0968
LAC,LAC,2019,22,0.8065,6,6,880.7,1460,13,0.402,0.2258,0.0968,0.3871,0.3226
NYJ,NYJ,2017,23,1.0968,6,6,815.4,1719,14,0.337,0.1935,0.4194,0.6452,0.0323
WAS,WAS,2022,23,1.0323,6,6,1181.11,2154,9,0.419,0.6774,0.6452,0.0645,0.3226
NE,NE,2023,23,1,6,6,837.95,1634,9,0.45,0.0645,0.1935,0.1613,0.6452
NO,NO,2021,23,0.9677,6,6,1184.1,2006,12,0.419,0.7097,0.5484,0.1935,0.2258
SF,SF,2018,23,0.9355,6,6,979.59,1917,7,0.412,0.6129,0.6452,0,0.2903
TB,TB,2020,23,0.9032,6,6,900.86,1533,16,0.438,0.2258,0.129,0.4516,0.3226
CHI,CHI,2024,23,0.8387,6,6,952.39,1747,13,0.425,0.1613,0.2258,0.2903,0.3226
CLE,CLE,2016,23,0.8387,6,6,672.76,1714,13,0.365,0,0.3871,0.4194,0.0323
JAX,JAX,2019,23,0.7742,6,6,870.18,1720,3,0.402,0.1613,0.4839,0,0.2903
CAR,CAR,2023,24,0.9355,6,6,967.8,1777,8,0.429,0.2581,0.3871,0.0645,0.4839
DEN,DEN,2022,24,0.9355,6,6,870.29,1946,12,0.438,0.0323,0.3548,0.129,0.4516
LAC,LAC,2017,24,0.9355,6,6,885.14,1615,11,0.38,0.3871,0.2581,0.3548,0.3226
WAS,WAS,2018,24,0.9355,6,6,876.33,1782,12,0.398,0.3871,0.4839,0.2581,0.1935
DET,DET,2020,24,0.871,6,6,1004.44,1506,17,0.428,0.4194,0.0645,0.5484,0.2581
LA,LA,2021,24,0.8065,6,6,1077.39,1702,11,0.442,0.3871,0.2258,0.129,0.4516
TB,TB,2019,24,0.7742,6,6,920.5,1540,15,0.348,0.3548,0.2581,0.4839,0.0323
TEN,TEN,2024,24,0.7742,6,6,1037.96,1860,12,0.413,0.3226,0.3871,0.1935,0.1935
DEN,DEN,2016,24,0.7419,6,6,911.69,1502,11,0.388,0.3871,0.1613,0.3226,0.2581
DET,DET,2018,25,0.9355,7,7,971.73,1670,12,0.414,0.5806,0.2903,0.2581,0.3871
LA,LA,2022,25,0.9032,7,7,886.86,1676,15,0.419,0.0645,0.1613,0.4516,0.2903
LAC,LAC,2023,25,0.871,7,7,1058.52,1658,11,0.406,0.4839,0.2903,0.3226,0.2581
NYG,NYG,2020,25,0.8387,7,7,867.41,1787,13,0.428,0.0968,0.4194,0.1935,0.2258
MIA,MIA,2024,25,0.7419,7,7,1127.57,1801,13,0.41,0.5161,0.3226,0.2903,0.129
CIN,CIN,2019,25,0.7097,7,7,877,1531,9,0.405,0.1935,0.2258,0.129,0.3548
NYJ,NYJ,2021,25,0.7097,7,7,960.98,1680,14,0.41,0.1935,0.1613,0.3548,0.1935
JAX,JAX,2016,25,0.6452,7,7,800.36,1640,8,0.398,0.129,0.2903,0.0323,0.3226
WAS,WAS,2017,25,0.6452,7,7,911.07,1458,10,0.372,0.4516,0.129,0.2581,0.2581
PHI,PHI,2018,26,0.9032,7,7,947.66,1589,12,0.435,0.5161,0.1613,0.2581,0.4839
SEA,SEA,2023,26,0.871,7,7,970.12,1591,11,0.422,0.2903,0.129,0.3226,0.4194
SEA,SEA,2022,26,0.8065,7,7,1023.33,2054,13,0.409,0.3226,0.4516,0.2258,0.129
JAX,JAX,2024,26,0.7097,7,7,994.78,1737,13,0.415,0.2258,0.1935,0.2903,0.2258
LAC,LAC,2020,26,0.7097,7,7,1206.3,1793,12,0.418,0.7419,0.4516,0.0968,0.1613
DET,DET,2021,26,0.6774,7,7,1017.23,1887,12,0.401,0.2903,0.4194,0.1935,0.0645
DET,DET,2019,26,0.6452,7,7,969.46,1658,8,0.398,0.5806,0.3548,0.0645,0.2258
LAC,LAC,2016,26,0.5806,7,7,960.86,1516,10,0.377,0.6129,0.1935,0.2258,0.1613
SEA,SEA,2017,26,0.5161,7,7,797.14,1646,4,0.372,0.129,0.2903,0,0.2258
LAC,LAC,2022,27,0.7419,7,7,1078.87,1542,15,0.416,0.5161,0.0645,0.4516,0.2258
MIA,MIA,2018,27,0.7097,7,7,733.33,1749,7,0.406,0.0645,0.4516,0,0.2581
