posteam,team,season,myRankNum,myRank,passOffenseTier,tier,totalEP,totalYds,totalTD,successRate,EP_rank,yds_rank,TD_rank,success_rank
ATL,ATL,2019,4,2.5161,1,1,1566.93,4718,32,0.478,1,0.9355,0.8387,0.7419
DET,DET,2017,4,2.4839,1,1,1260.01,4187,34,0.454,0.9032,0.8387,0.9032,0.7419
DET,DET,2022,4,2.4516,1,1,1354.47,4283,32,0.482,0.8387,0.8387,0.8387,0.7742
LAC,LAC,2021,5,2.6452,2,2,1568.58,4812,41,0.492,0.9032,0.9677,0.9032,0.7742
PIT,PIT,2018,5,2.5484,2,2,1447.76,5016,36,0.497,1,0.9677,0.8387,0.7419
HOU,HOU,2020,5,2.5484,2,2,1319.35,4540,34,0.522,0.7419,0.9032,0.7419,0.9032
KC,KC,2019,5,2.5161,2,2,1269.12,4500,30,0.49,0.7742,0.9032,0.7419,0.871
IND,IND,2016,5,2.4839,2,2,1298.87,4206,35,0.478,0.7742,0.8387,0.871,0.7742
MIN,MIN,2024,5,2.4516,2,2,1347.26,4043,36,0.479,0.8065,0.8387,0.871,0.7419
TB,TB,2017,5,2.4194,2,2,1272.15,4368,27,0.481,1,0.9032,0.6129,0.9032
KC,KC,2023,5,2.4194,2,2,1326.3,4188,30,0.472,0.871,0.8387,0.7742,0.8065
MIN,MIN,2022,5,2.3871000000000002,2,2,1545.62,4490,32,0.472,0.9355,0.871,0.8387,0.6774
WAS,WAS,2016,6,2.4516,2,2,1353.11,4758,28,0.491,0.9355,0.9677,0.6129,0.871
BUF,BUF,2023,6,2.3871000000000002,2,2,1233.9,4158,29,0.497,0.6129,0.7742,0.6452,0.9677
GB,GB,2021,6,2.3871000000000002,2,2,1428.13,4315,39,0.491,0.8065,0.7742,0.871,0.7419
NO,NO,2018,6,2.3548,2,2,1314.76,4044,33,0.553,0.7742,0.6452,0.7097,1
MIA,MIA,2022,6,2.3226,2,2,1175.06,4511,32,0.46,0.5484,0.9032,0.8387,0.5806
NO,NO,2017,6,2.2903,2,2,1156.41,4189,24,0.508,0.7742,0.871,0.4194,1
SF,SF,2019,6,2.2581,2,2,1062.74,3796,30,0.491,0.2581,0.6129,0.7419,0.9032
LV,LV,2020,6,2.2581,2,2,1322.69,4219,31,0.503,0.7742,0.8065,0.6774,0.7742
