fantasy_player_id,fantasy_player_name,team,posteam,season,player_position,numGames,myRankNum,myRank,rbTier,tier,totalEPA,totalTD,run_share,YPG,EPA_rank,td_rank,run_rank,YPG_rank,tgt_share,conversion,explosive_rate,third_down_rate,avg_eff,avg_RYOE_perAtt,tgt_rank,third_rank,conversion_rank,explosive_rank,RYOE_rank,eff_rank,EPA_rank_num,td_rank_num,run_rank_num,tgt_rank_num,YPG_rank_num,third_rank_num,conversion_rank_num,explosive_rank_num,RYOE_rank_num,eff_rank_num
00-0033293,A.Jones,GB,GB,2020,RB,14,6,0.7798,2,2,19.22,11,0.5401,78.9,0.9583333333333334,0.9183673469387755,0.7755102040816326,0.9693877551020408,0.13432835820895522,0.175,0.04950495049504951,0.2,3.9836856956626967,0.7578641626246703,0.9693877551020408,0.043478260869565216,0.5128205128205128,0.5769230769230769,0.875,0.4583333333333333,6,8,23,4,4,102,58,44,16,66
00-0033293,A.Jones,GB,GB,2019,RB,16,6,0.7317,2,2,5.81,19,0.6067,67.8,0.8061224489795918,0.9753086419753086,0.8271604938271605,0.7777777777777778,0.11147540983606558,0.412,0.05508474576271186,0.4444444444444444,4.9793864491028135,0.24318875252401703,0.8518518518518519,0.3870967741935484,0.9690721649484536,0.7191011235955056,0.5918367346938775,0.11224489795918367,20,3,15,13,19,58,4,26,41,88
00-0032764,D.Henry,TEN,TEN,2022,RB,16,6,0.7279,2,2,-8.19,14,0.7756,96.1,0.391304347826087,0.95,0.9833333333333333,0.9833333333333333,0.08836206896551724,0.275,0.04297994269340974,0.8461538461538461,4.289025077740481,0.2089014343619536,0.7,0.9340659340659341,0.8977272727272727,0.3924050632911392,0.5760869565217391,0.30434782608695654,57,4,2,19,2,7,10,49,40,65
00-0032393,C.Prosise,SEA,SEA,2016,RB,6,6,0,2,2,13.55,1,0.2273,28.7,0.946236559139785,0.30158730158730157,0.2857142857142857,0.3333333333333333,0.08520179372197309,0,0.03333333333333333,NA,4.770151515151514,NA,0.5873015873015873,NA,0,0.34523809523809523,NA,0.27956989247311825,6,44,46,27,43,92,91,56,56,68
00-0030288,R.Burkhead,NE,NE,2017,RB,10,6,0,2,2,15.05,8,0.2344,26.4,0.9431818181818182,0.9436619718309859,0.23943661971830985,0.28169014084507044,0.09424083769633508,0.312,0.03125,0,3.52999943019943,NA,0.6197183098591549,0,0.8850574712643678,0.25925925925925924,NA,0.9090909090909091,6,5,55,28,52,83,11,60,60,9
00-0037197,I.Pacheco,KC,KC,2023,RB,14,7,0.7895,2,2,-2.89,10,0.6205,66.8,0.6818181818181818,0.8831168831168831,0.9090909090909091,0.8831168831168831,0.08990825688073395,0.14,0.05339805825242718,0.75,3.907264399413751,0.3237168801711242,0.7012987012987013,0.9186046511627907,0.5,0.7702702702702703,0.6704545454545454,0.6363636363636364,29,10,8,24,10,5,42,18,30,33
00-0036555,C.Hubbard,CAR,CAR,2024,RB,15,7,0.7717,2,2,-11.49,11,0.6972,79.8,0.36904761904761907,0.868421052631579,0.9736842105263158,0.9210526315789473,0.10444874274661509,0.174,0.05976095617529881,0.5789473684210527,3.5497383379562426,1.0540878060680754,0.881578947368421,0.5952380952380952,0.6626506024096386,0.7671232876712328,0.8333333333333334,0.7976190476190477,54,11,3,10,7,34,29,18,15,18
00-0033045,E.Elliott,DAL,DAL,2018,RB,15,7,0.7655,2,2,-9.8,9,0.7488,95.6,0.375,0.7428571428571429,0.9714285714285714,1,0.17757009345794392,0.128,0.08223684210526316,0.7037037037037037,4.056171020213075,0.44132174086215153,0.9428571428571428,0.8571428571428571,0.35294117647058826,0.8289473684210527,0.7272727272727273,0.5795454545454546,56,19,3,5,1,13,56,14,25,38
00-0036158,J.Dobbins,BAL,BAL,2020,RB,15,7,0.7557,2,2,28.4,9,0.2621,53.8,1,0.7959183673469388,0.336734693877551,0.6938775510204082,0.060240963855421686,0.276,0.08888888888888889,0.7777777777777778,3.641191141885754,1.2172465669940695,0.5306122448979592,0.8347826086956521,0.717948717948718,0.9615384615384616,0.95,0.725,1,19,66,47,31,20,33,5,7,34
00-0033293,A.Jones,GB,GB,2021,RB,15,7,0.7552,2,2,10.64,10,0.4476,53.3,0.9238095238095239,0.8333333333333334,0.5777777777777777,0.7222222222222222,0.11818181818181818,0.121,0.04678362573099415,0.875,4.0972991164397365,0.18784577633917793,0.9,0.9306930693069307,0.3333333333333333,0.6555555555555556,0.7047619047619048,0.5619047619047619,9,14,39,10,26,7,71,32,32,47
00-0034791,N.Chubb,CLE,CLE,2019,RB,16,7,0.7135,2,2,-25.36,9,0.77,93.4,0.10204081632653061,0.7530864197530864,1,0.9876543209876543,0.08448275862068966,0.118,0.06711409395973154,0.4,3.7986940111763796,0.9549427008154284,0.7160493827160493,0.27956989247311825,0.3917525773195876,0.8426966292134831,0.9183673469387755,0.7040816326530612,89,21,1,24,2,66,60,15,9,30
00-0033293,A.Jones,GB,GB,2022,RB,17,7,0.7004,2,2,9.82,7,0.483,65.9,0.8695652173913043,0.5833333333333334,0.6333333333333333,0.8333333333333334,0.1226890756302521,0.065,0.056338028169014086,0.5333333333333333,3.992051183638503,0.5472476563882603,0.8666666666666667,0.6153846153846154,0.20454545454545456,0.6582278481012658,0.7391304347826086,0.5217391304347826,13,24,23,9,11,36,71,28,25,45
00-0027966,M.Ingram,NO,NO,2016,RB,16,7,0,2,2,11.85,11,0.5266,65.4,0.9354838709677419,0.8412698412698413,0.6825396825396826,0.8095238095238095,0.08333333333333333,0.125,0.052884615384615384,0.5263157894736842,3.6099918358731697,NA,0.5396825396825397,0.6404494382022472,0.30434782608695654,0.5357142857142857,NA,0.8172043010752689,7,11,21,30,13,33,65,40,40,18
00-0031731,C.Grant,JAX,JAX,2017,RB,NA,7,0,2,2,14.94,2,0,0,0.9318181818181818,NA,NA,NA,NA,0.5,0.1,0.5,2.594492753623188,NA,NA,0.39080459770114945,1,0.9753086419753086,NA,0.9886363636363636,7,74,74,74,74,53,1,3,3,2
00-0035685,D.Montgomery,DET,DET,2023,RB,14,8,0.763,2,2,3.16,13,0.553,72.5,0.875,0.948051948051948,0.8051948051948052,0.935064935064935,0.047244094488188976,0.208,0.0365296803652968,0.5172413793103449,3.5275459057130445,0.44489678580742326,0.37662337662337664,0.6744186046511628,0.7857142857142857,0.3918918918918919,0.75,0.875,12,5,16,49,6,29,19,46,23,12
00-0033553,J.Conner,ARI,ARI,2024,RB,16,8,0.7577,2,2,6.78,10,0.5545,68.6,0.8214285714285714,0.8026315789473685,0.75,0.868421052631579,0.10242085661080075,0.167,0.06694560669456066,0.4666666666666667,3.9522773422370108,0.617564780307416,0.8289473684210527,0.34523809523809523,0.5783132530120482,0.8082191780821918,0.7261904761904762,0.5952380952380952,16,16,20,14,11,56,35,15,24,35
00-0033594,C.Carson,SEA,SEA,2018,RB,14,8,0.7505,2,2,3.22,9,0.5489,82.2,0.7272727272727273,0.7714285714285715,0.8285714285714286,0.9714285714285714,0.05783132530120482,0.22,0.06882591093117409,0.6153846153846154,4.007738599959408,0.32219775478632984,0.4857142857142857,0.7857142857142857,0.7411764705882353,0.7105263157894737,0.6704545454545454,0.6363636363636364,25,17,13,37,3,19,23,23,30,33
00-0034750,R.Penny,SEA,SEA,2021,RB,10,8,0.7371,2,2,11.93,6,0.4508,74.9,0.9333333333333333,0.7555555555555555,0.6,0.9333333333333333,0.02666666666666667,0.158,0.1092436974789916,0,2.8672725597042934,1.953664630688998,0.15555555555555556,0,0.580952380952381,0.9888888888888889,0.9809523809523809,0.9809523809523809,8,21,37,77,7,98,45,2,3,3
00-0032187,Da.Johnson,HOU,HOU,2020,RB,12,8,0.7254,2,2,13.45,3,0.5904,57.6,0.9,0.3979591836734694,0.8571428571428571,0.7448979591836735,0.09913793103448276,0.3,0.06802721088435375,0.7272727272727273,3.751936619391005,0.5121861071159075,0.7551020408163265,0.7043478260869566,0.7777777777777778,0.8076923076923077,0.6833333333333333,0.6166666666666667,10,55,12,22,23,32,24,18,36,44
00-0033699,A.Ekeler,LAC,LAC,2022,RB,17,8,0.6964,2,2,10.01,18,0.5271,53.8,0.8804347826086957,0.9833333333333333,0.7666666666666667,0.5833333333333334,0.16933333333333334,0.216,0.03431372549019608,0.5909090909090909,4.357324155335185,0.48384163982636114,0.9833333333333333,0.7032967032967034,0.7727272727272727,0.24050632911392406,0.6847826086956522,0.2717391304347826,12,2,15,2,26,28,21,61,30,68
