receiver_player_id,player,posteam,season,numGames,tgt_share,numYards,numTD,numRec,wr_rank,playerYear,passOffenseTier,qbTier,runOffenseTier,player_name,position,points,NY_posteam,NY_numGames,NY_tgtShare,NY_seasonYards,NY_wr_rank,NY_playerYear,NY_passOffenseTier,NY_qbTier,NY_points,receiver_player_name,epaTier,NY_passFreqTier
00-0036550,Rashod Bateman,BAL,2024,17,0.1445783133,756,9,45,2,4,1,1,1,R.Bateman,WR,201.6,BAL,16,0.1724593049,,2,5,1,1,,R.Bateman,1,8
00-0036554,Nico Collins,HOU,2024,12,0.2204899777,1006,7,68,1,4,7,8,6,N.Collins,WR,248.9,HOU,16,0.2471762543,,1,5,6,5,,N.Collins,3,3
00-0036613,Jaylen Waddle,MIA,2024,15,0.1486013986,771,2,58,3,4,4,5,7,J.Waddle,WR,149.6,MIA,16,0.1801522413,,2,5,4,4,,J.Waddle,2,3
00-0036626,Dyami Brown,WAS,2024,16,0.07476635514,308,1,30,6,4,3,2,1,D.Brown,WR,108.3,JAX,16,0.0977393617,,5,5,6,6,,D.Brown,8,5
00-0036637,Noah Gray,KC,2024,17,0.07644305772,437,5,40,5,4,3,3,4,N.Gray,TE,118.8,KC,16,0.1007792208,,5,5,2,1,,N.Gray,2,3
00-0036849,Tutu Atwell,LA,2024,17,0.1047297297,562,0,42,4,3,3,7,4,T.Atwell,WR,101.7,LA,16,0.1694768699,,3,4,4,4,,T.Atwell,5,4
00-0036893,Najee Harris,PIT,2024,17,0.08775137112,283,0,36,5,4,6,7,4,N.Harris,RB,213.4,LAC,16,0.09267092966,,7,5,8,7,,N.Harris,8,7
00-0036894,Pat Freiermuth,PIT,2024,17,0.1425959781,655,7,65,2,4,6,7,4,P.Freiermuth,TE,172.8,PIT,16,0.1745482507,,2,5,6,8,,P.Freiermuth,2,7
00-0036900,Ja'Marr Chase,CIN,2024,17,0.2496433666,1708,18,127,1,4,1,1,8,J.Chase,WR,403,CIN,16,0.2686662412,,1,5,1,1,,J.Chase,2,1
00-0036912,DeVonta Smith,PHI,2024,13,0.2432432432,833,8,68,2,4,5,3,1,D.Smith,WR,240.4,PHI,16,0.2658917544,,2,5,4,3,,D.Smith,1,8
00-0036919,Kenneth Gainwell,PHI,2024,17,0.04462474645,116,0,16,10,4,5,3,1,K.Gainwell,RB,72.4,PHI,16,0.05769899201,,7,5,4,3,,K.Gainwell,NA,8
00-0036963,Amon-Ra St. Brown,DET,2024,17,0.2422680412,1354,14,115,1,4,1,1,1,A.St. Brown,WR,337.88,DET,16,0.2651474046,,1,5,2,2,,A.St. Brown,1,5
00-0036970,Kyle Pitts,ATL,2024,17,0.1256366723,602,4,47,4,4,3,7,2,K.Pitts,TE,131.2,ATL,16,0.1431166001,,4,5,3,5,,K.Pitts,8,4
00-0036973,Travis Etienne,JAX,2024,15,0.09811320755,254,0,39,6,3,7,7,7,T.Etienne,RB,130.2,JAX,16,0.1035535813,,6,4,6,6,,T.Etienne,8,5
00-0036980,Elijah Moore,CLE,2024,17,0.1389645777,538,3,61,3,4,8,7,7,E.Moore,WR,120.9,BUF,16,0.1696540225,,7,5,1,1,,E.Moore,8,8
00-0036988,Josh Palmer,LAC,2024,15,0.1361788618,579,1,39,3,4,5,5,5,J.Palmer,WR,107.4,BUF,16,0.1578037181,,4,5,1,1,,J.Palmer,3,8
00-0036997,Javonte Williams,DEN,2024,17,0.1178451178,346,0,52,3,4,4,4,5,J.Williams,RB,164.2,DAL,16,0.1304050356,,5,5,2,2,,J.Williams,8,1
00-0037005,Tommy Tremble,CAR,2024,12,0.07305936073,234,2,23,8,4,7,8,3,T.Tremble,TE,56.4,CAR,16,0.1090909091,,7,5,7,6,,T.Tremble,NA,5
00-0037086,Grant Calcaterra,PHI,2024,17,0.06085192698,298,1,24,5,3,5,3,1,G.Calcaterra,TE,61.2,PHI,16,0.1064814815,,4,4,4,3,,G.Calcaterra,NA,8
00-0037091,Bo Melton,GB,2024,17,0.03366336634,91,0,8,9,2,2,4,2,B.Melton,WR,25.1,GB,16,0.05748502994,,7,3,1,3,,B.Melton,NA,8
00-0037228,Jaylen Warren,PIT,2024,15,0.09812108559,310,0,38,4,3,6,7,4,J.Warren,RB,130.6,PIT,16,0.1076838839,,6,4,6,8,,J.Warren,8,7
00-0037238,Drake London,ATL,2024,17,0.2699490662,1271,9,100,1,3,3,7,2,D.London,WR,280.8,ATL,16,0.3039427716,,1,4,3,5,,D.London,6,4
00-0037239,Chris Olave,NO,2024,8,0.1641791045,400,3,32,2,3,6,6,4,C.Olave,WR,76.7,NO,16,0.2503160556,,1,4,7,8,,C.Olave,8,5
00-0037240,Jameson Williams,DET,2024,15,0.1697761194,951,6,58,2,3,1,1,1,J.Williams,WR,225.2,DET,16,0.1924740484,,2,4,2,2,,J.Williams,2,5
00-0037247,George Pickens,PIT,2024,14,0.2234273319,896,4,59,1,3,6,7,4,G.Pickens,WR,184.1,DAL,16,0.2352108689,,2,4,6,8,,G.Pickens,5,1
00-0037248,James Cook,BUF,2024,16,0.07495069034,258,2,32,8,3,2,1,2,J.Cook,RB,324.3,BUF,16,0.08182402,,8,4,1,1,,J.Cook,4,8
00-0037256,Rachaad White,TB,2024,16,0.09913043478,393,6,51,6,3,1,2,2,R.White,RB,203.1,TB,16,0.111649813,,7,4,3,2,,R.White,7,3
00-0037261,Khalil Shakir,BUF,2024,15,0.2123142251,821,4,76,1,3,2,1,2,K.Shakir,WR,217.9,BUF,16,0.2302867384,,1,4,1,1,,K.Shakir,2,8
00-0037263,Tyler Allgeier,ATL,2024,17,0.0220713073,88,0,13,6,3,3,7,2,T.Allgeier,RB,106.2,ATL,16,0.02443247403,,7,4,3,5,,T.Allgeier,NA,4
00-0037267,Jerome Ford,CLE,2024,14,0.07202680067,225,0,37,6,2,8,7,7,J.Ford,RB,134,CLE,16,0.09098014694,,6,3,8,8,,J.Ford,8,5
00-0037291,Jalen Nailor,MIN,2024,17,0.07035175879,414,6,28,5,3,2,3,7,J.Nailor,WR,111.3,MIN,16,0.0976070529,,6,4,3,5,,J.Nailor,1,4
00-0037545,Rashid Shaheed,NO,2024,6,0.2192513369,349,3,20,1,3,6,6,4,R.Shaheed,WR,81.8,NO,16,0.231865285,,2,4,7,8,,R.Shaheed,8,5
