"player_id","full_name","position","position_group","team","jersey_number","height","weight","years_exp","status","college","player_display_name.x","games","completions","attempts","passing_yards","passing_tds","interceptions","carries","rushing_yards","rushing_tds","receptions","targets","receiving_yards","receiving_tds","fantasy_points_ppr","passer_player_name","passing_epa_total","passing_epa_per_play","passing_plays","rusher_player_name","rushing_epa_total","rushing_epa_per_play","rushing_plays","receiver_player_name","receiving_epa_total","receiving_epa_per_play","receiving_plays","player_display_name.y","avg_time_to_throw","avg_completed_air_yards","avg_intended_air_yards.x","completion_percentage_above_expectation","aggressiveness","max_completed_air_distance","player_display_name.x.x","efficiency","percent_attempts_gte_eight_defenders","avg_time_to_los","expected_rush_yards","rush_yards_over_expected","rush_pct_over_expected","player_display_name.y.y","avg_cushion","avg_separation","avg_intended_air_yards.y","percent_share_of_intended_air_yards","catch_percentage","avg_yac","avg_expected_yac","avg_yac_above_expectation","fantasy_ppg","pass_ypg","rush_ypg","rec_ypg","total_tds","total_epa","ngs_avg_time_to_throw","ngs_avg_completed_air_yards","ngs_avg_intended_air_yards","ngs_completion_pct_above_expectation","ngs_aggressiveness","ngs_max_completed_air_distance","ngs_efficiency","ngs_pct_attempts_gte_eight_defenders","ngs_avg_time_to_los","ngs_expected_rush_yards","ngs_rush_yards_over_expected","ngs_rush_pct_above_expectation","ngs_avg_cushion","ngs_avg_separation","ngs_rec_avg_intended_air_yards","ngs_pct_share_intended_air_yards","ngs_catch_percentage","ngs_avg_yac","ngs_avg_expected_yac","ngs_avg_yac_above_expectation"
"00-0033958","Nathan Peterman","QB","QB","ATL",4,74,225,7,"DEV","Pittsburgh",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0039331","Emory Jones","QB","QB","ATL",11,74,210,0,"DEV","Cincinnati",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0039723","John Paddock","QB","QB","ATL",16,72,190,0,"CUT","Illinois",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038542","Bijan Robinson","RB","RB","ATL",7,71,214,1,"ACT","Texas","Bijan Robinson",17,0,0,0,0,0,304,1456,14,61,72,431,1,341.7,NA,0,0,0,"B.Robinson",17.94,0.059,305,"B.Robinson",16.11,0.264,61,NA,0,0,0,0,0,0,"Bijan Robinson",4.40173065188447,12.8410859714356,2.90676302972745,2428.83167344078,393.168326559216,0.472646504797622,NA,0,0,0,0,0,0,0,0,20.1,0,85.6,25.4,15,34.05,0,0,0,0,0,0,4.40173065188447,12.8410859714356,2.90676302972745,2428.83167344078,393.168326559216,0.472646504797622,0,0,0,0,0,0,0,0
"00-0037263","Tyler Allgeier","RB","RB","ATL",25,70,220,2,"ACT","Brigham Young","Tyler Allgeier",17,0,0,0,0,0,137,644,3,13,13,88,0,106.2,NA,0,0,0,"T.Allgeier",5.49,0.04,138,"T.Allgeier",3.43,0.264,13,NA,0,0,0,0,0,0,"Tyler Allgeier",4.90371435012273,28.3313671999803,2.79021162217412,792.56072709117,113.43927290883,0.517864164761975,NA,0,0,0,0,0,0,0,0,6.2,0,37.9,5.2,3,8.92,0,0,0,0,0,0,4.90371435012273,28.3313671999803,2.79021162217412,792.56072709117,113.43927290883,0.517864164761975,0,0,0,0,0,0,0,0
"00-0039393","Jase McClellan","RB","RB","ATL",30,71,212,0,"RES","Alabama","Jase McClellan",2,0,0,0,0,0,13,32,0,0,0,0,0,3.2,NA,0,0,0,"J.McClellan",-7.1,-0.547,13,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1.6,0,16,0,0,-7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0036543","Spencer Brown","RB","RB","ATL",42,72,220,3,"CUT","Alabama-Birmingham",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0036950","Avery Williams","RB","RB","ATL",26,69,195,3,"ACT","Boise State",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038419","Robert Burns","RB","RB","ATL",39,71,228,1,"RES","Connecticut",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00-0038862","Elijah Dotson","RB","RB","ATL",41,69,200,1,"DEV","Northern Colorado",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
