"player_id","player_name","season","games","passing_plays_total","passing_epa_total","passing_epa_avg","rushing_plays_total","rushing_epa_total","rushing_epa_avg","receiving_plays_total","receiving_epa_total","receiving_epa_avg","total_epa"
"00-0038046","C.Kolar",2024,7,0,0,NA,1,1.72,1.72,11,9.34,0.667,11.06
"00-0038090","S.Moore",2024,2,0,0,NA,0,0,NA,3,0,0,0
"00-0038092","E.Ezukanma",2024,1,0,0,NA,0,0,NA,2,0,0,0
"00-0038098","P.Strong",2024,11,0,0,NA,26,-1.51,-0.219,22,2.72,0.114,1.21
"00-0038102","K.Pickett",2024,4,46,3.43,-0.263,4,2.1,-0.197,0,0,NA,5.53
"00-0038104","T.Thornton",2024,4,0,0,NA,0,0,NA,8,4.59,0.382,4.59
"00-0038108","B.Zappe",2024,1,32,-16.85,-0.527,0,0,NA,0,0,NA,-16.85
"00-0038115","D.Bellinger",2024,7,0,0,NA,0,0,NA,17,6.42,0.362,6.42
"00-0038117","W.Robinson",2024,17,0,0,NA,3,-2.68,-0.893,140,45.67,0.365,42.99
"00-0038120","B.Hall",2024,16,0,0,NA,212,-20.86,-0.106,76,14.24,0.128,-6.62
"00-0038122","D.Ridder",2024,5,94,-22.01,-0.19,3,0.2,-0.213,0,0,NA,-21.81
"00-0038123","D.Belton",2024,1,0,0,NA,1,3.07,3.07,0,0,NA,3.07
"00-0038124","C.Watson",2024,14,0,0,NA,4,0.5,-0.138,54,46.22,0.866,46.72
"00-0038128","M.Willis",2024,6,63,15.31,0.394,8,2.93,0.111,0,0,NA,18.24
"00-0038129","C.Otton",2024,14,0,0,NA,1,-1.32,-1.32,87,41.22,0.469,39.9
"00-0038134","K.Walker",2024,11,0,0,NA,153,-12.15,-0.078,53,14.36,0.28,2.21
"00-0038359","X.Smith",2024,3,0,0,NA,4,2.83,0.708,2,-0.1,-0.05,2.73
"00-0038393","D.Wicks",2024,17,0,0,NA,0,0,NA,76,36.08,0.459,36.08
"00-0038394","W.Mallory",2024,7,0,0,NA,0,0,NA,8,0.57,0.081,0.57
"00-0038396","E.Gray",2024,10,0,0,NA,14,-16.05,-0.724,11,5.31,0.254,-10.74
"00-0038400","T.McKee",2024,2,47,14.68,0.982,2,-1.72,-0.86,0,0,NA,12.96
"00-0038416","T.Bagent",2024,2,2,0.32,0.16,0,0,NA,0,0,NA,0.32
"00-0038454","K.Mitchell",2024,2,0,0,NA,15,-5.22,-0.32,1,1.15,1.15,-4.07
"00-0038465","M.Heath",2024,5,0,0,NA,0,0,NA,13,10.16,0.84,10.16
"00-0038476","T.DeVito",2024,2,50,-8.01,-0.147,3,-4.65,-2.027,0,0,NA,-12.66
"00-0038489","B.VanSumeren",2024,1,0,0,NA,0,0,NA,1,-0.48,-0.48,-0.48
"00-0038496","X.Gipson",2024,8,0,0,NA,1,0.41,0.41,11,2.07,0.309,2.48
"00-0038498","E.Jenkins",2024,2,0,0,NA,0,0,NA,2,1.57,0.785,1.57
"00-0038507","G.DuBose",2024,2,0,0,NA,0,0,NA,4,0.47,-0.268,0.47
"00-0038519","N.Remigio",2024,1,0,0,NA,0,0,NA,6,3.98,0.663,3.98
"00-0038542","B.Robinson",2024,17,0,0,NA,305,17.93,0.033,72,16.11,0.258,34.04
"00-0038543","J.Smith-Njigba",2024,17,1,2.24,2.24,5,0.0199999999999999,0.004,138,102.92,0.801,105.18
"00-0038544","Q.Johnston",2024,15,0,0,NA,3,-0.82,-0.273,91,69.17,0.853,68.35
"00-0038547","L.Schoonmaker",2024,10,0,0,NA,0,0,NA,36,15.42,0.26,15.42
"00-0038550","H.Hooker",2024,3,10,-2.08,-0.332,1,1.76,1.76,0,0,NA,-0.32
"00-0038551","K.Miller",2024,6,0,0,NA,39,-5.36,-0.228,8,1.44,0.306,-3.92
"00-0038555","T.Bigsby",2024,15,0,0,NA,168,-0.829999999999999,0.055,12,0.43,0.06,-0.4
"00-0038558","D.Washington",2024,13,0,0,NA,0,0,NA,25,16.13,0.79,16.13
"00-0038559","Mi.Wilson",2024,16,0,0,NA,1,-0.81,-0.81,71,41.36,0.654,40.55
"00-0038563","T.Tucker",2024,17,0,0,NA,9,2.75,0.342,81,39.42,0.668,42.17
"00-0038573","D.Davis",2024,11,0,0,NA,12,-4.03,-0.438,17,7.98,0.629,3.95
"00-0038576","C.Jones",2024,1,0,0,NA,0,0,NA,1,0.16,0.16,0.16
"00-0038579","A.O'Connell",2024,9,254,2.51,-0.001,11,-6.78,-0.596,0,0,NA,-4.27
"00-0038582","C.Tune",2024,4,2,-1.13,-0.565,5,-8.64,-1.804,0,0,NA,-9.77
"00-0038583","D.Thompson-Robinson",2024,6,126,-71.15,-0.547,14,3.32,0.31,0,0,NA,-67.83
"00-0038589","J.Whyle",2024,14,0,0,NA,0,0,NA,38,15.69,0.345,15.69
"00-0038597","C.Brown",2024,16,0,0,NA,230,-4.82,0.007,65,19.03,0.255,14.21
"00-0038606","P.Washington",2024,12,0,0,NA,0,0,NA,53,32.64,0.449,32.64
"00-0038608","K.Boutte",2024,15,0,0,NA,0,0,NA,69,43.19,0.684,43.19
"00-0038611","C.Rodriguez",2024,6,0,0,NA,35,7.94,-0.111,1,1.14,1.14,9.08
"00-0038614","S.Matlock",2024,5,0,0,NA,0,0,NA,5,1.67,0.334,1.67
"00-0038618","X.Hutchinson",2024,14,0,0,NA,0,0,NA,26,11.22,0.573,11.22
"00-0038619","A.Iosivas",2024,17,0,0,NA,0,0,NA,61,46.22,0.814,46.22
"00-0038621","D.Douglas",2024,16,0,0,NA,3,0.74,0.247,87,43.83,0.476,44.57
"00-0038622","D.Vaughn",2024,5,0,0,NA,17,-4.09,-0.28,5,-0.51,-0.208,-4.6
"00-0038636","K.McIntosh",2024,7,0,0,NA,31,1.48,-0.128,4,0.15,0.178,1.63
"00-0038640","J.Brooks",2024,12,0,0,NA,0,0,NA,30,12.53,0.585,12.53
"00-0038643","B.Willis",2024,1,0,0,NA,0,0,NA,2,0,0,0
"00-0038647","R.Bell",2024,3,0,0,NA,0,0,NA,6,1.51,0.256,1.51
"00-0038678","J.Mims",2024,7,0,0,NA,20,-3.18,-0.07,18,-5.08,-0.294,-8.26
"00-0038679","T.Shavers",2024,1,0,0,NA,0,0,NA,1,7.09,7.09,7.09
"00-0038685","C.Brooks",2024,11,0,0,NA,36,4.78,0.156,13,-0.55,-0.05,4.23
"00-0038705","E.Demercado",2024,13,0,0,NA,24,12.38,0.443,20,-1,-0.213,11.38
"00-0038710","B.Whiteheart",2024,7,0,0,NA,0,0,NA,9,2.34,0.23,2.34
"00-0038720","J.Hill",2024,12,0,0,NA,0,0,NA,20,6.96,0.292,6.96
"00-0038738","H.Luepke",2024,13,0,0,NA,12,0.93,0.14,16,6.2,0.33,7.13
"00-0038752","J.Bobo",2024,11,0,0,NA,0,0,NA,18,8.02,0.414,8.02
"00-0038783","N.Adkins",2024,12,0,0,NA,0,0,NA,15,9.6,0.704,9.6
"00-0038794","J.McLaughlin",2024,16,0,0,NA,113,-1,0,27,-9.35,-0.129,-10.35
"00-0038797","Em.Wilson",2024,17,0,0,NA,103,9.19,0.157,14,-1.39,-0.263,7.8
"00-0038809","B.Sims",2024,4,0,0,NA,0,0,NA,5,2.69,0.279,2.69
"00-0038821","R.Jarrett",2024,6,0,0,NA,0,0,NA,11,8.22,0.94,8.22
"00-0038824","R.Miller",2024,8,0,0,NA,0,0,NA,20,11.7,0.974,11.7
"00-0038840","B.Tremayne",2024,1,0,0,NA,0,0,NA,1,-1.39,-1.39,-1.39
"00-0038920","J.Shenker",2024,1,0,0,NA,0,0,NA,1,0.37,0.37,0.37
"00-0038933","D.Kincaid",2024,13,0,0,NA,0,0,NA,75,39.68,0.579,39.68
