"player_id","player_name","position","team","week","completions","attempts","passing_yards","passing_tds","interceptions","carries","rushing_yards","rushing_tds","receptions","targets","receiving_yards","receiving_tds","fantasy_points_ppr"
"00-0035544","T.Kennedy","WR","DET",2,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0035547","J.Fortson","TE","KC",8,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0035567","C.Reynolds","RB","DET",18,0,0,0,0,0,8,39,0,0,2,0,0,3.9
"00-0035594","T.Homer","RB","CHI",15,0,0,0,0,0,3,7,0,0,0,0,0,0.7
"00-0035602","A.Bachman","WR","LV",6,0,0,0,0,0,0,0,0,3,3,31,0,6.1
"00-0035628","D.Johnson","RB","JAX",18,0,0,0,0,0,2,26,0,1,2,0,0,3.6
"00-0035631","D.Sample","TE","CIN",18,0,0,0,0,0,0,0,0,4,4,14,0,5.4
"00-0035639","P.Campbell","WR","PHI",13,0,0,0,0,0,0,0,0,0,1,0,0,0
"00-0035640","D.Metcalf","WR","SEA",18,0,0,0,0,0,0,0,0,3,5,53,1,14.3
"00-0035644","N.Fant","TE","SEA",18,0,0,0,0,0,0,0,0,5,6,63,1,17.3
"00-0035659","T.McLaurin","WR","WAS",18,0,0,0,0,0,0,0,0,8,12,62,1,20.2
"00-0035662","M.Brown","WR","KC",17,0,0,0,0,0,0,0,0,4,7,46,0,8.6
"00-0035676","A.Brown","WR","PHI",17,0,0,0,0,0,0,0,0,3,5,36,1,12.6
"00-0035685","D.Montgomery","RB","DET",15,0,0,0,0,0,5,4,0,4,4,31,0,7.5
"00-0035689","D.Knox","TE","BUF",17,0,0,0,0,0,0,0,0,1,3,4,0,1.4
"00-0035700","J.Jacobs","RB","GB",18,0,0,0,0,0,6,44,1,1,1,2,0,11.6
"00-0035704","D.Lock","QB","NYG",18,22,29,138,1,1,2,3,0,0,0,0,0,7.82
"00-0035710","D.Jones","QB","NYG",10,22,37,190,0,2,7,26,1,0,0,0,0,12.2
"00-0035719","D.Samuel","WR","SF",17,0,0,0,0,0,3,16,0,1,1,5,1,9.1
"00-0035806","J.Hasty","RB","NE",12,0,0,0,0,0,1,15,0,2,2,0,0,3.5
"00-0035860","T.Jones","RB","ARI",18,0,0,0,0,0,4,55,1,0,0,0,0,11.5
"00-0035891","C.White","WR","SEA",9,0,0,0,0,0,0,0,0,2,3,44,0,6.4
"00-0035924","J.Ward","RB","PIT",6,0,0,0,0,0,3,13,0,0,0,0,0,1.3
"00-0035973","P.Taylor","RB","SF",18,0,0,0,0,0,17,109,0,1,4,12,0,13.1
"00-0035976","D.Chisena","WR","CAR",17,0,0,0,0,0,0,0,0,1,1,8,0,1.8
"00-0035993","T.Huntley","QB","MIA",18,25,41,227,1,2,3,16,0,0,0,0,0,8.68
"00-0036040","J.Johnson","TE","NO",18,0,0,0,0,0,0,0,0,6,7,80,0,14
"00-0036096","J.Taylor","RB","HOU",9,0,0,0,0,0,3,23,0,0,0,0,0,2.3
"00-0036133","J.Proche","WR","CLE",14,0,0,0,0,0,0,0,0,2,2,18,0,3.8
"00-0036139","R.Dowdle","RB","DAL",18,0,0,0,0,0,22,72,1,2,3,12,0,16.4
"00-0036158","J.Dobbins","RB","LAC",18,0,0,0,0,0,18,63,0,3,3,12,0,10.5
"00-0036165","I.Hodgins","WR","NYG",10,0,0,0,0,0,0,0,0,1,1,7,0,1.7
"00-0036176","M.Kinsey","WR","TEN",16,0,0,0,0,0,0,0,0,1,1,6,0,1.6
"00-0036182","N.Westbrook-Ikhine","WR","TEN",18,0,0,0,0,0,0,0,0,4,7,50,0,9
